,feature_5,category_1,category_2,cluster1_2_3_4,cluster6_7_8
7581,0.2880994430515566,2,0,1.0685176547376198,2.8561070949374727
8484,-0.8135212477531191,2,0,3.172350089942534,0.2848474424753734
6215,0.9105697787742985,3,1,-2.460041065832322,-4.977810595550587
6884,-0.2506738635515473,0,0,0.27661671349100975,-1.0693316233716408
3647,-0.7890571940628124,0,0,0.3120930209084853,1.6071175353078313
6504,-0.7877025030214853,2,1,1.299389859541247,2.333406119382133
8190,-0.3718857964327489,2,1,0.9891673477619152,-0.0020809472020788256
5156,-0.9110419369066384,0,0,0.28593171863167083,0.5828983755389306
8026,-0.6821661907601881,3,2,-1.8789379659752963,-1.4028395753668788
7246,0.8512398313444247,1,2,0.07006013124216001,4.038070169017648
1514,-0.7507065021661499,1,0,-0.15417644443942588,-4.136661685929078
2313,0.3115987088183432,0,1,0.689730585919805,-0.7071777240504451
8227,0.0907838324161236,2,1,3.6436085728676475,2.331100101379512
1451,-0.8329047592956966,2,1,2.669036301789579,-1.2166347545767955
2020,0.8347635209095312,0,2,0.026073986935999938,0.12365212855722996
3411,0.5853323700992776,1,1,-0.6384585331585221,-1.7023958955627474
8215,0.0953507040216399,0,1,0.3769393277375308,-0.23869894618919105
4085,0.8483440976306567,1,0,-0.0660514462907631,-1.348542433359513
4504,-0.2832358732967603,1,0,-0.28815492295814643,-0.0859432641835111
838,0.5979797732586976,2,0,1.637443621179091,0.8873653783419521
8922,-0.8593438629699597,3,0,-1.714544580525457,-2.75588435843645
2374,0.6879248488963952,2,0,1.8084232498037054,-0.7030896076159365
4952,0.0506199156994362,2,1,1.3280303076959301,1.339858100130012
2906,-0.9068724041854312,1,0,-0.7965580659727839,-0.23752261141936107
8931,0.5894384113104154,0,1,0.26918621037743984,-1.4349747975303409
3337,-0.6774836480569717,1,2,-0.2933561741883945,2.0204917610450956
6175,-0.1443953502521466,1,0,-0.26565450760312415,-0.5171356577675418
7378,-0.2983186457308657,2,0,0.7563337023534228,-0.7276832052684566
450,-0.2598155775146642,1,1,-0.027954005573545892,2.3219564631481044
4453,0.2645674012825247,0,2,0.5111521832389474,-0.16780042358638333
1714,0.3062206765045838,3,0,-1.0542140129735118,-0.4897270639550375
5259,-0.690844788655687,2,1,3.2224904395110334,1.7586286835519733
4734,-0.4863003357815012,0,0,0.7042176358587007,1.3258472005013493
339,0.1700312155019225,3,0,-0.886992411308812,0.533132998435442
8037,0.2821338736534502,3,1,-2.357925187877333,-1.871806352171183
4981,-0.6486999596179379,2,2,1.2905702506069199,-0.1169713737448212
4121,0.8051948902919641,1,1,-0.29318619022847886,2.5323393739961584
7363,-0.803643559797659,3,1,-0.997392858556484,4.909357883525533
2670,-0.1660332957022818,3,2,-1.277493950499919,-0.9816809575326854
1419,-0.1748536013698589,2,1,0.8237055971156338,0.2775821036232075
34,0.8585989610649623,2,1,1.1536378387939747,-1.408561118094597
7298,-0.2789345133096259,3,1,-1.1188736775977444,1.5822154343930117
5845,-0.0554791979947799,3,0,-0.9430066592557964,1.5465536715798816
3161,0.4008457348452645,0,2,0.9144756189041954,2.845322230852755
8355,-0.9060026162460628,2,0,1.2744395311085148,1.315904882207433
1410,-0.4233330864541955,2,1,2.2898197472925546,0.17477186744163034
4149,0.6783976571133807,0,1,0.2562516054002755,0.9169332891093367
2170,-0.3177589731865049,2,0,1.57395867184333,0.09769302994914775
8367,0.2866962920908293,0,2,0.6104807216796406,-2.1454797520716564
889,-0.9423452896550136,2,0,1.6275383051867371,-1.0968651539984202
8453,0.2542169918191554,3,2,-1.0915915072964717,2.5646049125321397
3082,0.4476627784670368,3,0,-3.418267361605913,2.120440347191643
8911,-0.3395655579111507,3,1,-1.1004981578343922,-1.0801195592316688
2244,-0.4606981318054357,2,1,2.7487315030180794,1.8890272634804013
4264,0.9069835742244774,1,0,0.23358184454426134,-2.105951466592503
8013,-0.5889744076405676,1,1,-0.2003153883041895,0.9172320970981328
8511,-0.8154023165821567,2,1,0.9876074355342639,0.40824945885080605
5702,-0.6948244941090884,0,0,0.13459124377693224,1.1561681323318764
432,-0.3902613274613808,1,1,-0.6986909997607922,2.6087944321657646
1654,-0.4414633355893387,0,2,0.5283890069529106,1.4680433508667303
178,0.2342540879178616,1,1,-0.6042547315422369,0.6475289565039838
4383,-0.3337251907252614,0,2,0.5300224880632636,-1.8952695853946266
6735,-0.3119941680394769,2,0,1.053082786164748,0.32444668029049956
7334,-0.5838048779337137,0,2,0.5541511396676432,-2.7278634438445017
2997,0.306050560932259,3,2,-2.0713394077326654,-0.4369512973989535
1886,0.7499566396738928,3,2,-1.4823454115857966,1.227551549844848
8075,-0.1479611904952269,0,1,0.3148425552748374,0.41197472650604067
1786,-0.5819648103255606,1,0,-0.44952235667373597,2.781449728790449
4394,0.3221895986099248,2,0,1.5196842191889621,1.963537079854454
8036,-0.3464539524858669,3,2,-2.3626360893494627,-4.459430730620381
4489,-0.5971681516166667,0,2,-0.06191359940542832,-0.35204259750149874
2181,0.1523208220309606,1,0,-0.5158397087328226,1.0039099528188486
7248,-0.9841325158040548,3,1,-3.001082954761117,-0.3509915981789901
6867,0.0594291660239618,3,2,-1.316202669865044,-1.3560655682759901
2069,0.6342082006575405,2,1,1.735060399088771,1.8119131321666402
6450,-0.2049972462856628,1,0,-0.32570213927866476,-1.0200511844837596
4906,0.4180954432054473,1,0,-0.9553337579488093,-0.14307348953300683
8660,0.5718913129506527,2,2,3.6147238943092193,0.8439906153681322
880,0.5892968974066561,2,1,4.038725274605612,1.1292376373645672
4712,0.8646016649443251,0,1,0.9280796307912504,-0.13251032941150553
4924,-0.116040696318072,0,2,0.9701393178081201,1.2889727262390076
8097,0.851170316581136,2,1,1.9478356414476186,-0.8425957027674945
6685,0.301735440642894,0,1,0.24715437263424245,-2.335645188423633
4134,-0.2069491974898185,1,0,-0.2788116003792179,-0.5907363097594308
3790,-0.9650166839612142,2,0,0.7931612889818495,-0.9015439837184486
4919,0.6218000813835578,2,0,2.301850316748122,-0.6352419776888445
2887,0.0959152237157507,2,0,2.319366012361913,0.4127768229099604
5837,0.4705265928395585,2,0,2.166450770112216,-0.4238002081206593
1706,0.9091686676410312,2,2,1.231220976913379,-1.7955565626867118
1158,-0.8579562461099097,2,0,1.8766779585240305,0.3963875617914645
2306,0.8893392560178417,2,2,0.8901271906558882,-2.5531833808008835
7183,0.1710115106974881,3,0,-1.581408896092277,0.7505629558867776
7680,0.866120672226319,2,0,0.8591961993611824,0.2192050989999932
5353,-0.7932066092359691,2,1,2.0121698220609416,-0.6316553269962312
8964,0.5150017292581079,2,2,1.1050942627350766,-0.5314068270228884
6264,0.3742487810924699,3,2,-1.0701063312903403,1.362945877468064
7383,-0.5275872662840222,3,1,-1.2173424777280584,-0.9021551069887831
8832,0.2911657648188401,1,0,-0.7409172469121078,0.15944183589667732
7030,-0.2261477733289325,3,1,-2.2049904971232257,1.8609518194494046
4560,0.5054291115246672,3,0,-1.9220478798413128,1.3593375982774987
1564,-0.9162473008150483,2,2,1.4694578827149314,0.8691550741636602
1782,0.7054580455182571,3,0,-2.409261472626905,-0.4495618549688989
