,target
7581,1
8484,1
6215,0
6884,0
3647,1
6504,1
8190,1
5156,0
8026,0
7246,0
1514,1
2313,1
8227,1
1451,1
2020,1
3411,0
8215,1
4085,0
4504,0
838,1
8922,0
2374,1
4952,1
2906,0
8931,1
3337,1
6175,1
7378,1
450,1
4453,0
1714,0
5259,1
4734,0
339,0
8037,0
4981,1
4121,0
7363,0
2670,0
1419,1
34,1
7298,1
5845,0
3161,1
8355,1
1410,1
4149,1
2170,1
8367,1
889,1
8453,0
3082,0
8911,0
2244,1
4264,0
8013,1
8511,1
5702,1
432,0
1654,1
178,0
4383,1
6735,1
7334,0
2997,0
1886,0
8075,0
1786,1
4394,1
8036,0
4489,0
2181,0
7248,0
6867,0
2069,1
6450,1
4906,0
8660,1
880,1
4712,1
4924,1
8097,1
6685,1
4134,0
3790,1
4919,1
2887,1
5837,1
1706,1
1158,1
2306,0
7183,0
7680,1
5353,1
8964,0
6264,1
7383,0
8832,0
7030,0
4560,0
1564,1
1782,0
3799,0
3605,1
3149,0
904,1
8700,1
4607,1
7361,1
6073,1
2080,0
1565,0
4818,1
8254,0
5204,1
3544,1
5599,1
5378,1
5993,1
5186,0
1113,1
2646,0
4580,1
5762,0
7089,1
5265,0
2300,1
8557,1
254,0
7008,1
3352,1
3314,1
5694,1
5682,0
7623,0
6463,1
5411,0
2589,0
7085,0
303,0
5020,0
3150,1
5540,1
3826,0
3019,1
1436,1
3032,1
6727,1
376,1
1869,0
8756,0
3143,1
8084,0
1658,0
755,1
6880,0
4367,1
6498,1
290,1
2236,0
4793,0
7374,1
2118,0
6232,1
8250,0
501,1
3768,1
5042,1
8520,0
1539,0
4949,1
1211,0
7552,0
8198,1
672,0
6419,1
5167,0
2954,0
5723,0
5144,1
8938,0
1464,0
5164,1
8139,1
1192,1
3272,1
2264,1
421,1
505,0
6518,0
2623,1
1582,0
506,0
3739,0
2405,1
8257,0
5019,1
621,0
2126,0
8365,1
4866,1
3787,0
2933,1
8341,0
347,0
797,1
7746,1
2829,0
4562,0
8381,0
7547,0
8690,1
312,1
4629,1
746,1
790,1
2476,0
2024,0
6280,1
2570,0
3463,1
4252,1
8439,1
5407,1
4333,1
4622,0
259,0
2163,1
8237,0
380,0
4907,0
4291,0
1912,1
3309,1
599,1
45,0
1444,1
1652,0
2699,1
7909,1
1893,1
1944,1
2406,0
5361,1
8788,1
4992,0
1966,1
3027,1
5861,1
5753,0
5621,0
1600,0
6006,0
1392,1
4522,1
5357,0
4156,0
4254,0
6495,1
426,0
6123,1
8899,1
410,1
8177,1
8003,0
4511,1
2486,0
8307,1
779,1
4377,1
8299,1
5538,0
210,1
2487,1
6137,0
4934,0
5835,0
7853,1
1049,1
8089,0
4731,0
8134,0
4209,0
8588,1
5550,0
1972,1
8505,0
2099,1
1499,1
1109,1
5566,1
5751,0
652,0
6400,1
2732,1
242,1
1795,0
1702,0
3955,0
5615,0
4148,0
1498,1
2756,1
